,ZIPCODE,RACE: Non-White alone: Total population -- (Estimate)_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_DENSITY,geometry,RACE: Non-White alone: Total population -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ad_score,ad_score_scaled
0,30002,0.7034935272211384,0.025208416038110363,0.009064443562260157,0.2682883522727273,0.27592727272727274,0.2457119378913221,0.025749559082892417,,96.18528610354224,7.493188010899183,9.945504087193461,90.19073569482289,98.22888283378747,15.803814713896458,20.29972752043597,338.14713896457766,0.5327942497753818
1,30004,0.20642893879650265,0.07354621167452831,0.02743587853773585,0.0683875063266164,0.027035912999494184,0.15656979405034324,0.02156186547200825,,11.1716621253406,82.97002724795641,65.39509536784742,2.316076294277929,0.9536784741144414,8.174386920980927,11.580381471389646,182.56130790190738,0.2762803234501348
2,30005,0.35322436849925704,0.09319726808144811,0.034738031936064194,0.05079549344406245,0.036778663629460896,0.15378830516818115,0.023036858974358976,,70.84468664850137,90.05449591280654,81.06267029972751,0.5449591280653951,1.6348773841961852,7.901907356948229,14.713896457765667,266.75749318801087,0.4150943396226415
3,30008,0.6295542843158249,0.262751133617979,0.1278257703637507,0.2285691003911343,0.17814857142857143,0.3342353581383985,0.011279826464208243,,94.95912806539509,99.1825613079019,98.77384196185287,66.62125340599455,38.41961852861036,37.46594005449591,1.4986376021798364,436.9209809264305,0.6956424079065587
4,30009,0.321704627434814,0.10417364756692356,0.046464872109907296,0.08619591232329493,0.04524907538468563,0.15716289332535238,0.017072977050742476,,61.03542234332425,91.68937329700273,90.87193460490464,4.359673024523161,2.4523160762942777,8.446866485013624,4.632152588555858,263.48773841961855,0.4097035040431267
5,30011,0.24477358406222527,0.07681490595886799,0.021700570478914653,0.08748170932003464,0.06647076704833317,0.28646675866943283,0.024600024058703235,,19.482288828337875,85.42234332425068,45.095367847411445,4.9046321525885554,6.4032697547683926,24.114441416893733,17.71117166212534,203.133514986376,0.31019766397124887
6,30012,0.533207949060751,0.10999047595789885,0.07487362328750397,0.21942313025792734,0.1731949340644993,0.255623051747232,0.02673160173160173,,91.82561307901908,92.64305177111717,96.32152588555859,57.084468664850135,35.55858310626703,17.438692098092645,23.43324250681199,414.3051771117166,0.6583557951482478
7,30013,0.5858555239472089,0.05229754688681467,0.03136117412269285,0.16060184420913615,0.15540887171243886,0.365467196137669,0.031157195349071326,,93.73297002724796,54.08719346049046,75.34059945504087,20.16348773841962,26.294277929155314,45.91280653950954,36.37602179836512,351.9073569482289,0.5554806828391733
8,30014,0.34969460036964006,0.04084332125719241,0.017996634357478267,0.17506481558919462,0.1942274775217896,0.5973263146322788,0.029627067842526947,,69.61852861035422,26.430517711171664,32.42506811989101,25.340599455040874,54.904632152588555,93.59673024523161,32.28882833787466,334.6049046321526,0.5269541778975741
9,30016,0.5516649359640013,0.04314796130334145,0.02147011692088551,0.17246753969689801,0.22319284590544008,0.5938237636151636,0.025331498623967975,,92.64305177111717,32.28882833787466,44.00544959128065,23.978201634877383,87.32970027247957,93.3242506811989,19.618528610354222,393.1880108991826,0.6235399820305481
10,30017,0.425729845966856,0.06992902873591741,0.015534269690803513,0.11478686134819309,0.07822304620650314,0.3374087501233106,0.03557759220598469,,85.14986376021798,79.70027247956403,23.29700272479564,10.354223433242506,8.310626702997276,38.41961852861036,48.50136239782017,293.732970027248,0.45956873315363883
11,30019,0.2668066370418688,0.10227754525194326,0.03606022721095831,0.08916911524649036,0.059958835239734116,0.4948089263790763,0.02756750192284338,,29.97275204359673,91.28065395095368,83.10626702997276,5.177111716621253,4.4959128065395095,79.97275204359673,25.885558583106267,319.8910081743869,0.5026954177897573
12,30021,0.7642824119939238,0.03425699997584133,0.006788587442321165,0.30403842340655224,0.2737156115346371,0.5885726484147608,0.026456644746903197,,97.00272479564033,15.940054495912806,5.858310626702997,96.73024523160763,97.95640326975477,92.77929155313352,22.47956403269755,428.74659400544965,0.6821653189577718
13,30022,0.3366269109922139,0.07322808776995833,0.02707796586723843,0.049502854211284926,0.033104654910447076,0.09612180687920127,0.021500271296798698,,67.16621253405995,82.6975476839237,63.89645776566758,0.2724795640326976,1.4986376021798364,4.9046321525885554,11.444141689373296,231.88010899182564,0.35759209344115006
14,30024,0.38953279456629725,0.07905328648917043,0.027293997276618794,0.061902777679687555,0.03718408276237579,0.136381559838965,0.01907244785949506,,78.47411444141689,86.10354223433242,64.57765667574932,1.3623978201634876,1.771117166212534,7.084468664850136,6.67574931880109,246.0490463215259,0.380952380952381
15,30025,0.2591668845666472,0.022423918846769888,0.007859049652963161,0.20129495216100296,0.1556571815718157,0.4008782447562248,0.03462050599201065,,24.52316076294278,5.313351498637602,7.629427792915531,36.78474114441417,26.70299727520436,56.94822888283379,45.776566757493185,203.67847411444143,0.3110961365678347
16,30028,0.07184123573412256,0.06924485618873209,0.026780135731983196,0.0906410751682492,0.05535333249654826,0.1818539354662198,0.027949396881435717,,1.3623978201634876,78.61035422343325,62.94277929155314,5.5858310626703,3.8147138964577656,10.217983651226158,26.839237057220707,189.3732970027248,0.28751123090745734
17,30030,0.2831730895182206,0.0258795331982766,0.009244728507432876,0.13697382170895742,0.08323379644181807,0.0,0.014207762792134253,,39.1008174386921,7.901907356948229,10.490463215258856,14.577656675749319,8.85558583106267,2.997275204359673,2.997275204359673,86.9209809264305,0.11859838274932612
18,30032,0.8220542389715011,0.035997723937587975,0.008056063010990986,0.27913770524831266,0.2843991883970842,0.5277990629443675,0.036898935757010795,,97.95640326975477,17.57493188010899,7.901907356948229,93.8692098092643,98.50136239782016,85.55858310626704,54.35967302452316,455.7220708446867,0.7266397124887691
19,30033,0.30524065864471184,0.048869365546847704,0.016173314031847453,0.15354716656634276,0.06028664593918253,0.12020023320332918,0.011238383401772207,,52.86103542234333,45.36784741144414,25.47683923705722,18.11989100817439,4.632152588555858,6.4032697547683926,1.3623978201634876,154.22343324250681,0.22955974842767296
20,30034,0.9646727677765067,0.019651076705185566,0.0040235619789487235,0.16616442297499887,0.22013659396342808,0.5548405990016639,0.034850268078985225,,99.7275204359673,3.542234332425068,2.1798365122615806,21.662125340599456,85.55858310626704,89.1008174386921,46.45776566757493,348.22888283378745,0.5494159928122191
21,30035,0.9520321895203219,0.024104582786606404,0.005977547747485056,0.2159044275226848,0.22857329928632228,0.5270478178514825,0.022818484118793718,,99.4550408719346,6.67574931880109,4.768392370572207,51.36239782016349,89.9182561307902,85.42234332425068,14.30517711171662,351.9073569482289,0.5554806828391733
22,30038,0.9594373061586177,0.017557030077008765,0.004455853150578777,0.16246511209147385,0.18403477822580644,0.8681249592227712,0.018115942028985508,,99.59128065395096,2.861035422343324,2.997275204359673,20.572207084468666,43.18801089918256,98.77384196185287,6.130790190735695,274.1144414168937,0.4272237196765498
