ZIPCODE,RACE: Total: Total population -- (Estimate),POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Total: Population for whom poverty status is determined -- (Estimate),RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Total: Households -- (Estimate),PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE: Total: Civilian noninstitutionalized population for whom poverty status is determined -- (Estimate),RACE: Non White alone: Total population -- (Estimate),RACE: Total: Total population -- (Estimate)_PERCENTILE,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Total: Population for whom poverty status is determined -- (Estimate)_PERCENTILE,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Total: Households -- (Estimate)_PERCENTILE,PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE: Total: Civilian noninstitutionalized population for whom poverty status is determined -- (Estimate)_PERCENTILE,RACE: Non White alone: Total population -- (Estimate)_PERCENTILE
30002,16917.0,16896.0,6875.0,16860.0,11901.0,6.948228882833788,7.493188010899183,8.583106267029972,7.493188010899183,19.07356948228883
30004,116660.0,116571.0,39540.0,116571.0,24082.0,58.85558583106267,60.35422343324251,56.94822888283379,60.490463215258856,37.60217983651226
30005,67300.0,67191.0,21072.0,67191.0,23772.0,34.059945504087196,35.694822888283376,27.79291553133515,35.694822888283376,36.920980926430516
30008,65378.0,61360.0,21875.0,61352.0,41159.0,31.88010899182561,31.607629427792915,29.291553133514988,31.743869209809265,57.62942779291553
30009,58218.0,58077.0,21901.0,58077.0,18729.0,28.201634877384198,29.019073569482288,29.427792915531334,29.019073569482288,27.79291553133515
30011,67111.0,66974.0,19738.0,66933.0,16427.0,33.92370572207084,35.42234332425068,25.068119891008173,35.55858310626703,24.795640326975477
30012,44131.0,43268.0,15318.0,43238.0,23531.0,18.66485013623978,19.482288828337875,18.392370572207085,19.482288828337875,36.51226158038147
30013,85772.0,84806.0,29239.0,84659.0,50250.0,44.141689373297005,45.50408719346049,41.28065395095368,45.64032697547684,69.20980926430518
30014,145547.0,143484.0,50827.0,143273.0,50897.0,67.84741144414168,68.52861035422343,66.7574931880109,68.66485013623978,70.02724795640327
30016,72225.0,71857.0,24154.0,71830.0,39844.0,36.920980926430516,38.01089918256131,34.33242506811989,38.01089918256131,56.403269754768395
30017,42783.0,42531.0,14024.0,42509.0,18214.0,18.11989100817439,18.66485013623978,16.348773841961854,18.80108991825613,26.70299727520436
30019,98116.0,98016.0,29637.0,97920.0,26178.0,50.95367847411444,52.45231607629428,41.55313351498638,52.58855585831063,42.50681198910082
30021,45423.0,45389.0,15085.0,45362.0,34716.0,20.435967302452315,21.11716621253406,18.11989100817439,21.11716621253406,51.90735694822888
30022,123169.0,122801.0,43438.0,122745.0,41462.0,61.30790190735695,62.12534059945504,60.6267029972752,62.26158038147139,58.17438692098093
30024,141929.0,141593.0,44078.0,141551.0,55286.0,66.7574931880109,67.98365122615805,60.8991825613079,68.11989100817439,73.70572207084469
30025,49717.0,48496.0,17712.0,48472.0,12885.0,22.3433242506812,22.47956403269755,22.615803814713896,22.615803814713896,21.38964577656676
30028,49331.0,49183.0,15934.0,49135.0,3544.0,22.20708446866485,23.024523160762943,19.754768392370572,23.160762942779293,6.267029972752043
30030,38171.0,37321.0,15907.0,37321.0,10809.0,15.53133514986376,16.212534059945504,19.618528610354222,16.212534059945504,17.847411444141688
30032,72494.0,69489.0,26614.0,69407.0,59594.0,37.05722070844686,36.51226158038147,38.01089918256131,36.51226158038147,75.34059945504087
30033,63160.0,58145.0,26374.0,58126.0,19279.0,30.653950953678475,29.155313351498638,37.60217983651226,29.155313351498638,28.474114441416894
30034,66436.0,66037.0,22695.0,66019.0,64089.0,33.37874659400545,34.741144414168936,31.19891008174387,35.14986376021798,77.52043596730245
