ZIPCODE,B02001e1,B02001e2,C16001e1,C16001e3,C16001e5,B17001e1,B17001e2,B22003e1,B22003e2,B24011e1,B24011e19,B992521e1,B992521e2
30002,16917.0,5016.0,15114.0,381.0,137.0,16896.0,4533.0,6875.0,1897.0,163069.0,40068.0,2835.0,73.0
30004,116660.0,92578.0,108544.0,7983.0,2978.0,116571.0,7972.0,39540.0,1069.0,874000.0,136842.0,31027.0,669.0
30005,67300.0,43528.0,62813.0,5854.0,2182.0,67191.0,3413.0,21072.0,775.0,623643.0,95909.0,14976.0,345.0
30008,65378.0,24219.0,60426.0,15877.0,7724.0,61360.0,14025.0,21875.0,3897.0,270133.0,90288.0,11525.0,130.0
30009,58218.0,39489.0,53718.0,5596.0,2496.0,58077.0,5006.0,21901.0,991.0,340812.0,53563.0,12593.0,215.0
30011,67111.0,50684.0,62579.0,4807.0,1358.0,66974.0,5859.0,19738.0,1312.0,328251.0,94033.0,16626.0,409.0
30012,44131.0,20600.0,40949.0,4504.0,3066.0,43268.0,9494.0,15318.0,2653.0,244129.0,62405.0,9240.0,247.0
30013,85772.0,35522.0,80673.0,4219.0,2530.0,84806.0,13620.0,29239.0,4544.0,408458.0,149278.0,19867.0,619.0
30014,145547.0,94650.0,136081.0,5558.0,2449.0,143484.0,25119.0,50827.0,9872.0,782291.0,467283.0,34698.0,1028.0
30016,72225.0,32381.0,67396.0,2908.0,1447.0,71857.0,12393.0,24154.0,5391.0,281304.0,167045.0,15988.0,405.0
30017,42783.0,24569.0,40298.0,2818.0,626.0,42531.0,4882.0,14024.0,1097.0,162192.0,54725.0,11496.0,409.0
30019,98116.0,71938.0,91985.0,9408.0,3317.0,98016.0,8740.0,29637.0,1777.0,308703.0,152749.0,24703.0,681.0
30021,45423.0,10707.0,41393.0,1418.0,281.0,45389.0,13800.0,15085.0,4129.0,243591.0,143371.0,6539.0,173.0
30022,123169.0,81707.0,115666.0,8470.0,3132.0,122801.0,6079.0,43438.0,1438.0,984969.0,94677.0,29488.0,634.0
30024,141929.0,86643.0,132923.0,10508.0,3628.0,141593.0,8765.0,44078.0,1639.0,1039774.0,141806.0,36440.0,695.0
30025,49717.0,36832.0,46825.0,1050.0,368.0,48496.0,9762.0,17712.0,2757.0,256876.0,102976.0,12016.0,416.0
30028,49331.0,45787.0,46415.0,3214.0,1243.0,49183.0,4458.0,15934.0,882.0,409367.0,74445.0,13596.0,380.0
30030,38171.0,27362.0,35047.0,907.0,324.0,37321.0,5112.0,15907.0,1324.0,526451.0,0.0,9713.0,138.0
30032,72494.0,12900.0,66782.0,2404.0,538.0,69489.0,19397.0,26614.0,7569.0,524622.0,276895.0,12873.0,475.0
30033,63160.0,43881.0,60099.0,2937.0,972.0,58145.0,8928.0,26374.0,1590.0,646646.0,77727.0,13881.0,156.0
30034,66436.0,2347.0,62134.0,1221.0,250.0,66037.0,10973.0,22695.0,4996.0,375625.0,208412.0,15294.0,533.0
30035,44238.0,2122.0,41154.0,992.0,246.0,43862.0,9470.0,15273.0,3491.0,258690.0,136342.0,8721.0,199.0
30038,45140.0,1831.0,41294.0,725.0,184.0,44428.0,7218.0,15872.0,2921.0,168599.0,146365.0,8556.0,155.0
30039,69377.0,25886.0,64531.0,6050.0,2325.0,69272.0,9798.0,22186.0,3407.0,340475.0,194261.0,16783.0,603.0
30040,109318.0,95356.0,101858.0,8555.0,3692.0,108531.0,8643.0,35556.0,1634.0,978466.0,134476.0,30073.0,790.0
30041,93061.0,77936.0,87182.0,5105.0,1737.0,92948.0,5400.0,30933.0,1368.0,1159834.0,94348.0,25959.0,605.0
30043,128375.0,77304.0,120314.0,17341.0,6885.0,126001.0,10870.0,39709.0,2758.0,554578.0,416165.0,29054.0,779.0
30044,128201.0,54057.0,119537.0,28762.0,11789.0,127368.0,19048.0,41319.0,6068.0,613330.0,206551.0,24469.0,650.0
30045,120513.0,67343.0,113378.0,15113.0,5521.0,118213.0,12415.0,36005.0,3198.0,385663.0,125199.0,29635.0,977.0
30046,98465.0,47696.0,92027.0,16427.0,6623.0,95929.0,13712.0,29985.0,3701.0,375597.0,229472.0,21455.0,807.0
30047,118070.0,57616.0,109906.0,23185.0,11854.0,117506.0,17092.0,38607.0,4335.0,675822.0,196603.0,25475.0,919.0
30052,140858.0,90037.0,131784.0,6652.0,2085.0,139717.0,15841.0,46140.0,4689.0,629413.0,225788.0,36854.0,1349.0
30054,28337.0,21434.0,26581.0,388.0,109.0,27071.0,3920.0,9747.0,1512.0,152540.0,88286.0,6937.0,184.0
30055,121400.0,97553.0,114445.0,5521.0,2407.0,120411.0,20148.0,43738.0,7174.0,870389.0,460341.0,32390.0,1138.0
30056,176784.0,132287.0,166469.0,8817.0,4419.0,168603.0,33773.0,62377.0,12085.0,1220325.0,626822.0,43627.0,1760.0
30058,77934.0,5398.0,73349.0,2020.0,593.0,77534.0,12201.0,27741.0,5307.0,412401.0,311872.0,17985.0,455.0
30060,88413.0,45621.0,81760.0,20013.0,10398.0,84899.0,19405.0,32666.0,5186.0,404412.0,120536.0,14144.0,228.0
30062,159928.0,116611.0,150119.0,11095.0,4021.0,159138.0,14988.0,59777.0,4043.0,1282143.0,289013.0,40834.0,882.0
30064,110516.0,66210.0,102981.0,13336.0,6070.0,107081.0,12449.0,38614.0,3802.0,626880.0,173001.0,27925.0,722.0
30066,102306.0,73705.0,95967.0,7252.0,2397.0,102277.0,8862.0,37674.0,2295.0,682809.0,191074.0,26319.0,586.0
30067,56543.0,30954.0,52458.0,7209.0,3416.0,56309.0,9514.0,23878.0,2847.0,461801.0,53572.0,9569.0,304.0
30068,44214.0,35245.0,41733.0,2591.0,897.0,44151.0,3473.0,17292.0,940.0,522374.0,86719.0,12791.0,222.0
30070,5900.0,2785.0,5508.0,137.0,56.0,5862.0,1092.0,2044.0,560.0,30667.0,34000.0,1145.0,81.0
30071,51976.0,24417.0,47967.0,17570.0,8340.0,51938.0,10212.0,17264.0,2768.0,263209.0,78532.0,8241.0,229.0
30072,6798.0,1002.0,6196.0,124.0,101.0,6793.0,2514.0,2618.0,960.0,24466.0,29028.0,1020.0,59.0
30075,94677.0,79454.0,89081.0,6113.0,2663.0,94253.0,4864.0,34006.0,960.0,910405.0,23672.0,28250.0,683.0
30076,69700.0,51392.0,64190.0,11476.0,6654.0,69383.0,8039.0,26087.0,1901.0,431530.0,53563.0,15468.0,416.0
30078,71034.0,37608.0,66292.0,6293.0,2081.0,70523.0,7420.0,22174.0,2320.0,335795.0,112076.0,17820.0,558.0
30079,17507.0,8151.0,16048.0,1563.0,605.0,17380.0,4857.0,6990.0,1098.0,146173.0,39659.0,3020.0,57.0
30080,86469.0,41238.0,79805.0,13139.0,6394.0,85937.0,14330.0,37843.0,3980.0,654435.0,75325.0,16421.0,466.0
30082,58156.0,28120.0,54415.0,7462.0,3420.0,57638.0,7720.0,23101.0,2449.0,375990.0,10667.0,13778.0,406.0
30083,94847.0,18819.0,87622.0,3914.0,1662.0,94253.0,25389.0,33352.0,8474.0,459272.0,245219.0,16108.0,504.0
30084,85330.0,43137.0,78558.0,16351.0,9732.0,84817.0,14728.0,31887.0,3992.0,569237.0,85980.0,18401.0,420.0
30087,83712.0,25696.0,79174.0,6365.0,2923.0,83245.0,10998.0,29545.0,3495.0,528573.0,132963.0,21629.0,737.0
30088,70938.0,6947.0,66715.0,2412.0,793.0,70603.0,11566.0,24526.0,4749.0,349289.0,267700.0,15984.0,388.0
30092,48956.0,30103.0,45902.0,6304.0,2587.0,48875.0,5012.0,18683.0,1544.0,501804.0,56848.0,10583.0,217.0
30093,74482.0,27269.0,66877.0,29372.0,18093.0,74368.0,19334.0,23670.0,4337.0,248398.0,134454.0,9462.0,350.0
30094,66293.0,24146.0,61534.0,4394.0,2821.0,65095.0,10066.0,22699.0,2476.0,319028.0,23409.0,15518.0,300.0
30096,115988.0,47786.0,107363.0,22562.0,10394.0,115819.0,17572.0,41203.0,5362.0,582153.0,264962.0,19254.0,438.0
30097,111854.0,61222.0,105216.0,4583.0,1629.0,111743.0,5887.0,36505.0,1093.0,821608.0,63851.0,27720.0,495.0
30101,132355.0,102132.0,123541.0,6605.0,2195.0,132102.0,11582.0,44707.0,3812.0,856521.0,325683.0,35904.0,955.0
30102,62513.0,48812.0,58748.0,5303.0,2284.0,62121.0,6940.0,22107.0,2182.0,342826.0,59356.0,15854.0,475.0
30103,288886.0,213483.0,271354.0,10828.0,4799.0,282223.0,57771.0,106869.0,19942.0,2042741.0,823340.0,75966.0,2994.0
30104,117381.0,89266.0,111187.0,4603.0,1970.0,114655.0,21953.0,42588.0,7444.0,798158.0,360748.0,30815.0,1044.0
30105,62900.0,49685.0,59730.0,2436.0,1198.0,60904.0,11025.0,22833.0,3939.0,480625.0,272589.0,17203.0,555.0
30106,51894.0,20423.0,48593.0,6221.0,3171.0,51127.0,8931.0,19871.0,3140.0,264292.0,80368.0,11335.0,230.0
30107,52377.0,40237.0,49122.0,3014.0,2010.0,50126.0,8351.0,17811.0,2598.0,292575.0,139099.0,12480.0,495.0
30108,99436.0,73773.0,93490.0,2590.0,1140.0,97506.0,20816.0,37473.0,7332.0,631508.0,256221.0,24923.0,1218.0
30110,215884.0,144390.0,201877.0,7684.0,3550.0,211191.0,42057.0,78602.0,14652.0,1284482.0,530365.0,51430.0,1384.0
30113,253143.0,173096.0,237027.0,9994.0,4588.0,248080.0,48524.0,92282.0,16774.0,1616452.0,710168.0,61487.0,1799.0
30114,121064.0,95777.0,113049.0,7884.0,4506.0,117198.0,18220.0,41158.0,5137.0,556670.0,258245.0,30501.0,1124.0
30115,70540.0,63413.0,66163.0,5644.0,2640.0,69796.0,8480.0,23619.0,1647.0,341131.0,101552.0,19487.0,339.0
30116,63374.0,50202.0,59055.0,2593.0,939.0,62191.0,10728.0,22498.0,4427.0,310169.0,90994.0,15943.0,391.0
30117,80400.0,60042.0,75265.0,4317.0,2104.0,76625.0,15356.0,28301.0,5955.0,352538.0,104739.0,16940.0,407.0
30118,8615.0,4597.0,8324.0,748.0,455.0,6150.0,2076.0,2308.0,434.0,13615.0,9688.0,690.0,9.0
