TRACT,ZIP
13001950100,31513
13001950200,31513
13001950300,31513
13001950400,31563
13001950500,31513
13003960100,31650
13003960200,31642
13003960300,31624
13005970100,31510
13005970201,31510
13005970202,31510
13007960100,39870
13007960200,39862
13009970100,31061
13009970200,31061
13009970300,31061
13009970400,31061
13009970500,31061
13009970600,31061
13009970701,31061
13009970702,31061
13009970800,31061
13011970100,30511
13011970200,30547
13011970300,30558
13011970400,30530
13013180103,30548
13013180104,30011
13013180105,30011
13013180106,30011
13013180107,30680
13013180108,30011
13013180203,30680
13013180204,30680
13013180205,30680
13013180206,30680
13013180301,30680
13013180302,30680
13013180303,30680
13013180401,30680
13013180402,30666
13013180501,30680
13013180502,30620
13013180503,30620
13015960101,30171
13015960102,30184
13015960200,30103
13015960300,30120
13015960401,30121
13015960402,30121
13015960500,30120
13015960600,30120
13015960700,30120
13015960801,30102
13015960802,30102
13015960803,30137
13015960901,30120
13015960902,30120
13015961000,30178
13017960100,31750
13017960200,31750
13017960300,31750
13017960400,31750
13017960500,31750
13019970100,31622
13019970200,31749
13019970300,31639
13019970400,31639
13019970500,31639
13019970600,31645
13021010100,31201
13021010200,31204
13021010300,31203
13021010400,31204
13021010500,31201
13021010800,31201
13021011000,31211
13021011100,31217
13021011500,31201
13021011701,31211
13021011702,31217
13021011800,31204
13021011900,31204
13021012000,31204
13021012101,31210
13021012102,31210
13021012200,31204
13021012300,31204
13021012400,31204
13021012500,31204
13021012600,31206
13021012700,31206
13021012800,31206
13021012900,31206
13021013101,31206
13021013102,31206
13021013201,31204
13021013202,31206
13021013302,31217
13021013407,31210
13021013408,31210
13021013409,31220
13021013410,31210
13021013411,31210
13021013502,31216
13021013503,31216
13021013504,31216
13021013603,31206
13021013604,31052
13021013605,31220
13021013606,31052
13021013700,31201
13021013800,31217
13021013900,31206
13023790100,31014
13023790200,31014
13023790300,31014
13025960100,31543
13025960200,31553
13025960300,31542
13027960200,31778
13027960300,31602
13027960400,31643
13027960500,31643
13027960600,31643
13029920101,31308
13029920102,31321
13029920301,31324
13029920303,31324
13029920305,31324
13029920306,31324
13029980000,31321
13031110100,30450
13031110200,30461
13031110300,30458
13031110401,30458
13031110403,30458
13031110404,30458
13031110500,30458
13031110601,30461
13031110602,30461
13031110700,30415
13031110800,30452
13031110900,30415
13033950100,30830
13033950200,30815
13033950400,30830
13033950500,30830
13033950700,30456
13033950900,30441
13035150100,30233
13035150200,30233
13035150300,30233
13037950100,39862
13037950200,39846
13039010100,31565
13039010200,31569
13039010301,31548
13039010302,31548
13039010401,31558
13039010402,31558
13039010403,31558
13039010500,31558
13039010601,31558
13039010602,31558
13043950100,30439
13043950200,30439
13043950300,30439
13045910101,30180
13045910103,30180
13045910104,30180
13045910200,30179
13045910300,30117
13045910400,30108
13045910501,30117
13045910502,30117
13045910600,30117
13045910701,30116
13045910702,30180
13045910703,30116
13045910800,30185
13045910900,30116
13045911000,30116
13045911100,30117
13045911200,30108
13047030100,30755
13047030201,30736
13047030202,30736
13047030301,30736
13047030303,30736
13047030304,30736
13047030401,30736
13047030402,30736
13047030500,30741
13047030600,30741
13047030700,30742
13049010100,31537
13049010200,31562
13051000100,31402
13051000300,31412
13051000601,31415
13051000900,31401
13051001100,31401
13051001200,31415
13051001500,31401
13051002000,31401
13051002100,31404
13051002200,31404
13051002300,31415
13051002600,31401
13051002700,31401
13051002800,31405
13051002900,31405
13051003000,31405
13051003301,31415
13051003302,31415
13051003400,31405
13051003501,31404
13051003502,31404
13051003601,31404
13051003602,31404
13051003700,31404
13051003800,31404
13051003900,31406
13051004001,31416
13051004002,31406
13051004100,31406
13051004207,31406
13051004208,31419
13051004209,31419
13051004210,31406
13051004211,31419
13051004212,31419
13051004300,31405
13051004400,31403
13051004500,31405
13051010101,31401
13051010102,31404
13051010200,31406
13051010501,31405
13051010502,31405
13051010601,31408
13051010603,31408
13051010605,31421
13051010700,31407
13051010801,31302
13051010802,31322
13051010803,31322
13051010806,31419
13051010807,31419
13051010808,31419
13051010809,31419
13051010901,31419
13051011003,31406
13051011004,31406
13051011005,31411
13051011006,31411
13051011103,31328
13051011104,31410
13051011106,31410
13051011107,31410
13051011108,31410
13051011109,31410
13051011200,31401
13051011300,31401
13051011400,31401
13051011500,31419
13051011600,31415
13051980000,31415
13053020100,31805
13053020201,31905
13053020203,31905
13053020205,31995
13053020206,31805
13055010100,30747
13055010200,30753
13055010300,30731
13055010400,30747
13055010500,30747
13055010600,30730
13057090100,30107
13057090200,30183
13057090300,30114
13057090400,30114
13057090501,30107
13057090502,30115
13057090601,30114
13057090602,30115
13057090701,30114
13057090702,30115
13057090802,30115
13057090803,30115
13057090804,30188
13057090901,30188
13057090902,30188
13057090904,30188
13057090905,30188
13057091001,30188
13057091003,30102
13057091005,30189
13057091006,30189
13057091007,30189
13057091008,30189
13057091101,30189
13057091102,30102
13057091103,30102
13059000100,30601
13059000401,30605
13059000402,30605
13059000600,30605
13059000900,30606
13059001200,30606
13059001700,30606
13059001800,30606
13059001900,30601
13059002000,30606
13059002100,30605
13059002200,30606
13059030100,30601
13059030200,30601
13059130300,30607
13059130400,30606
13059130500,30606
13059130600,30606
13059130700,30606
13059140300,30601
13059140400,30601
13059140500,30608
13059140600,30683
13059150300,30606
13059150400,30605
13059150500,30605
13059150600,30605
13059150700,30605
13059150800,30605
13059150900,30605
13061960300,39851
13063040202,30349
13063040203,30349
13063040204,30349
13063040302,30297
13063040303,30297
13063040306,30297
13063040307,30297
13063040308,30297
13063040407,30260
13063040408,30260
13063040409,30294
13063040410,30294
13063040411,30273
13063040412,30260
13063040413,30273
13063040414,30297
13063040415,30236
13063040416,30297
13063040417,30236
13063040509,30296
13063040510,30296
13063040512,30296
13063040513,30296
13063040514,30296
13063040515,30274
13063040516,30238
13063040518,30238
13063040519,30349
13063040520,30349
13063040521,30274
13063040522,30274
13063040523,30274
13063040524,30274
13063040525,30238
13063040526,30238
13063040606,30228
13063040608,30228
13063040609,30236
13063040611,30236
13063040612,30238
13063040613,30236
13063040614,30236
13063040615,30236
13063040616,30281
13063040617,30281
13063040619,30238
13063040620,30238
13063040621,30228
13063040622,30238
13063980000,30320
13065970100,31634
13065970200,31634
13067030101,30101
13067030103,30101
13067030104,30101
13067030106,30101
13067030107,30101
13067030209,30064
13067030214,30152
13067030215,30152
13067030218,30152
13067030219,30101
13067030220,30144
13067030222,30102
13067030223,30102
13067030224,30144
13067030226,30144
13067030227,30144
13067030228,30144
13067030229,30144
13067030230,30152
13067030231,30064
13067030232,30064
13067030233,30064
13067030234,30127
13067030235,30127
13067030236,30101
13067030238,30127
13067030239,30152
13067030310,30144
13067030311,30066
13067030312,30066
13067030313,30066
13067030314,30066
13067030318,30067
13067030319,30068
13067030320,30067
13067030322,30062
13067030324,30066
13067030326,30066
13067030327,30062
13067030328,30062
13067030329,30062
13067030330,30062
13067030331,30062
13067030332,30062
13067030333,30068
13067030334,30068
13067030335,30062
13067030336,30068
13067030337,30068
13067030339,30339
13067030340,30066
13067030341,30066
13067030342,30075
13067030343,30075
13067030344,30067
13067030345,30339
13067030405,30067
13067030407,30067
13067030408,30067
13067030409,30068
13067030410,30068
13067030411,30067
13067030412,30067
13067030413,30067
13067030414,30067
13067030502,30062
13067030504,30062
13067030505,30062
13067030506,30066
13067030507,30066
13067030601,30144
13067030602,30064
13067030700,30060
13067030800,30060
13067030901,30064
13067030902,30064
13067030904,30008
13067030905,30008
13067031001,30060
13067031002,30008
13067031004,30060
13067031005,30060
13067031101,30080
13067031106,30060
13067031108,30080
13067031110,30080
13067031111,30080
13067031112,30080
13067031113,30060
13067031114,30080
13067031115,30082
13067031116,30082
13067031117,30082
13067031118,30082
13067031205,30339
13067031206,30082
13067031207,30339
13067031208,30080
